movie_title,movie_imdb_link,movie_facebook_likes,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes
The Curious Case of Benjamin Button,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,24000.0,David Fincher,21000.0,Cate Blanchett,6200,Brad Pitt,12000,Julia Ormond,924,25741.0
Inception,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,175000.0,Christopher Nolan,22000.0,Leonardo DiCaprio,29000,Joseph Gordon-Levitt,23000,Ellen Page,7100,118117.0
Deepwater Horizon,http://www.imdb.com/title/tt1860357/?ref_=fn_tt_tt_1,11000.0,Peter Berg,544.0,Mark Wahlberg,8900,Kurt Russell,3300,Douglas M. Griffin,18,28598.0
The Sorcerer's Apprentice,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,11000.0,Jon Turteltaub,227.0,Nicolas Cage,12000,Jay Baruchel,3900,Alfred Molina,1100,31510.0
X-Men: First Class,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,54000.0,Matthew Vaughn,905.0,James McAvoy,8800,Laurence Belcher,96,Michael Fassbender,13000,81792.0
Pearl Harbor,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,8300.0,Michael Bay,2200.0,Ben Affleck,6700,Josh Hartnett,3600,Kate Beckinsale,7600,34613.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,11000.0,Michael Apted,151.0,Georgie Henley,1500,Skandar Keynes,1500,Ben Barnes,3200,15075.0
Zootopia,http://www.imdb.com/title/tt2948356/?ref_=fn_tt_tt_1,46000.0,Byron Howard,59.0,Ginnifer Goodwin,2700,Jason Bateman,3700,Idris Elba,8400,50287.0
Godzilla,http://www.imdb.com/title/tt0831387/?ref_=fn_tt_tt_1,70000.0,Gareth Edwards,383.0,Aaron Taylor-Johnson,7300,CJ Adams,449,Ken Watanabe,2100,25300.0
Poseidon,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,1700.0,Wolfgang Petersen,248.0,Josh Lucas,3500,Kurt Russell,3300,Jacinda Barrett,584,103272.0
